Valor1,Codigo_Operador,Valor2,Resultado
9404,1,2256,7148
9374,1,6826,2548
6869,1,9563,-2694
6993,1,5121,1872
746,1,894,-148
242,1,1529,-1287
7240,1,9039,-1799
8239,1,908,7331
932,1,8321,-7389
9346,1,7219,2127
824,1,4263,-3439
4177,1,6133,-1956
8670,1,4120,4550
5443,1,6746,-1303
2201,1,4334,-2133
2371,1,2130,241
9273,1,673,8600
8693,1,4832,3861
4162,1,7530,-3368
4480,1,6808,-2328
6538,1,6119,419
3899,1,9648,-5749
1299,1,312,987
3596,1,4472,-876
267,1,5851,-5584
9892,1,4103,5789
1336,1,9548,-8212
9534,1,5448,4086
437,1,6798,-6361
9107,1,167,8940
4950,1,7913,-2963
5071,1,7685,-2614
1863,1,1042,821
5494,1,2393,3101
3594,1,2267,1327
3994,1,7484,-3490
9750,1,9326,424
9643,1,7026,2617
8349,1,8086,263
8197,1,9155,-958
3021,1,842,2179
862,1,2550,-1688
360,1,6485,-6125
4098,1,7485,-3387
4782,1,8338,-3556
1859,1,425,1434
7312,1,3516,3796
5414,1,1161,4253
3049,1,8177,-5128
3682,1,1859,1823
2859,1,1802,1057
9407,1,3706,5701
997,1,7848,-6851
1892,1,1754,138
4773,1,7033,-2260
5664,1,5140,524
8222,1,4466,3756
2719,1,5040,-2321
3280,1,2010,1270
2609,1,1772,837
8743,1,6227,2516
423,1,2160,-1737
5237,1,5693,-456
9608,1,3539,6069
9203,1,1930,7273
8483,1,6341,2142
3091,1,3913,-822
4957,1,8667,-3710
3873,1,2725,1148
9293,1,5156,4137
4574,1,5754,-1180
2046,1,6202,-4156
7922,1,7617,305
9670,1,5440,4230
4506,1,9591,-5085
3679,1,462,3217
9044,1,1230,7814
9697,1,9514,183
5092,1,9025,-3933
2025,1,7452,-5427
5503,1,5239,264
6285,1,3123,3162
5794,1,6930,-1136
6866,1,8819,-1953
4527,1,6799,-2272
921,1,5767,-4846
9082,1,673,8409
5948,1,5039,909
3805,1,7556,-3751
5882,1,9418,-3536
531,1,9914,-9383
7778,1,7374,404
1342,1,7706,-6364
7607,1,4952,2655
9642,1,3609,6033
4289,1,4265,24
7461,1,5273,2188
8702,1,2580,6122
7582,1,9509,-1927
6127,1,2647,3480
2038,1,7680,-5642
9947,1,5773,4174
5083,1,6422,-1339
7750,1,6247,1503
1337,1,4459,-3122
1085,1,3457,-2372
4067,1,1941,2126
5554,1,7431,-1877
5753,1,2420,3333
5508,1,6625,-1117
4372,1,5574,-1202
4478,1,5063,-585
917,1,3753,-2836
1900,1,6623,-4723
5447,1,9043,-3596
1289,1,6485,-5196
6071,1,8438,-2367
1167,1,3825,-2658
1495,1,7701,-6206
6581,1,6985,-404
5550,1,1887,3663
7398,1,1983,5415
3461,1,2249,1212
8985,1,5328,3657
4066,1,4372,-306
8848,1,8091,757
8445,1,6525,1920
6972,1,9018,-2046
8956,1,2589,6367
7139,1,9649,-2510
2040,1,6030,-3990
5656,1,7044,-1388
4721,1,3894,827
9609,1,9202,407
879,1,2486,-1607
7127,1,4499,2628
1214,1,9454,-8240
4979,1,1396,3583
9469,1,8314,1155
5086,1,3681,1405
2954,1,3510,-556
1053,1,6798,-5745
129,1,9087,-8958
5701,1,6691,-990
5439,1,4477,962
6791,1,9432,-2641
4906,1,1698,3208
7008,1,9190,-2182
3484,1,8180,-4696
7963,1,1134,6829
5465,1,2144,3321
9821,1,8328,1493
5062,1,7223,-2161
9441,1,7745,1696
1130,1,8290,-7160
2627,1,4470,-1843
2274,1,7686,-5412
8726,1,3771,4955
5171,1,5081,90
6907,1,4134,2773
1817,1,4641,-2824
1119,1,7683,-6564
6935,1,1822,5113
3132,1,4688,-1556
6476,1,9820,-3344
5229,1,3961,1268
3793,1,4721,-928
8347,1,6549,1798
5356,1,5530,-174
7989,1,3476,4513
7057,1,2386,4671
8625,1,1532,7093
8939,1,4746,4193
3242,1,6966,-3724
4729,1,7196,-2467
7023,1,2224,4799
6326,1,2493,3833
1655,1,6228,-4573
2804,1,8752,-5948
7652,1,888,6764
3471,1,8836,-5365
5943,1,1628,4315
3630,1,711,2919
3909,1,2069,1840
3433,1,4375,-942
9106,1,7974,1132
2565,1,44,2521
5305,1,259,5046
5929,1,299,5630
4570,1,7386,-2816
7407,1,2829,4578
4744,1,1888,2856
4316,1,8202,-3886
602,1,7452,-6850
9986,1,6268,3718
6233,1,7815,-1582
2940,1,4953,-2013
8619,1,8915,-296
8851,1,4107,4744
9927,1,9950,-23
9976,1,8648,1328
3525,1,6164,-2639
8883,1,4758,4125
471,1,8099,-7628
6752,1,9273,-2521
9915,1,5532,4383
7434,1,54,7380
4463,1,4617,-154
9764,1,7669,2095
1105,1,515,590
2418,1,9765,-7347
1236,1,7261,-6025
8477,1,5645,2832
3177,1,5725,-2548
8884,1,999,7885
4772,1,535,4237
6268,1,635,5633
9133,1,4083,5050
8613,1,6731,1882
3444,1,7044,-3600
5978,1,2154,3824
9617,1,9502,115
9870,1,2505,7365
7373,1,7633,-260
7906,1,7737,169
1399,1,1528,-129
465,1,1331,-866
7392,1,5728,1664
345,1,9639,-9294
4848,1,4838,10
3614,1,8000,-4386
9772,1,1041,8731
2527,1,2805,-278
4555,1,7429,-2874
2974,1,9591,-6617
8116,1,607,7509
9237,1,9495,-258
6597,1,5560,1037
2548,1,3528,-980
4426,1,8818,-4392
8890,1,7570,1320
5547,1,2869,2678
1233,1,2443,-1210
9377,1,6045,3332
7709,1,8503,-794
2288,1,4041,-1753
8741,1,1531,7210
1114,1,3854,-2740
1989,1,7479,-5490
5024,1,4119,905
3998,1,2418,1580
5544,1,9796,-4252
783,1,3907,-3124
1735,1,3987,-2252
8565,1,9992,-1427
9198,1,8831,367
5586,1,2579,3007
7178,1,8480,-1302
7528,1,8786,-1258
2590,1,7203,-4613
3140,1,3117,23
4337,1,3454,883
232,1,8752,-8520
9334,1,4034,5300
2291,1,743,1548
4704,1,1258,3446
1625,1,1875,-250
8118,1,4723,3395
7895,1,4836,3059
9241,1,3572,5669
5941,1,5061,880
3258,1,8929,-5671
8444,1,9422,-978
1140,1,751,389
6079,1,8851,-2772
7435,1,4439,2996
3778,1,1977,1801
660,1,2871,-2211
6210,1,5512,698
3034,1,3139,-105
6685,1,1528,5157
2224,1,1214,1010
4558,1,107,4451
9838,1,5120,4718
5547,1,6513,-966
2035,1,8489,-6454
9503,1,9940,-437
5465,1,3991,1474
3728,1,5913,-2185
8395,1,1865,6530
940,1,1230,-290
1696,1,5627,-3931
8096,1,7602,494
3233,1,2843,390
728,1,7145,-6417
91,1,1747,-1656
7565,1,2978,4587
5555,1,3061,2494
5022,1,7306,-2284
4500,1,7207,-2707
2987,1,2210,777
489,1,1536,-1047
153,1,7509,-7356
5795,1,9174,-3379
1270,1,4682,-3412
4052,1,3267,785
9273,1,804,8469
7306,1,2608,4698
8318,1,9978,-1660
2103,1,9033,-6930
1593,1,3847,-2254
9053,1,2427,6626
9555,1,2345,7210
8728,1,2061,6667
7246,1,4962,2284
6670,1,3120,3550
6659,1,8005,-1346
8786,1,5426,3360
965,1,3751,-2786
858,1,5483,-4625
3729,1,3653,76
2325,1,503,1822
2616,1,6925,-4309
4979,1,4701,278
9768,1,4527,5241
7243,1,846,6397
7356,1,3834,3522
2855,1,4348,-1493
8453,1,2043,6410
9097,1,3938,5159
4334,1,712,3622
6562,1,9013,-2451
5909,1,1109,4800
6913,1,521,6392
5591,1,208,5383
9067,1,4787,4280
4333,1,8792,-4459
453,1,1890,-1437
714,1,6339,-5625
6524,1,4521,2003
4507,1,4013,494
6940,1,4534,2406
3744,1,6780,-3036
5144,1,2042,3102
723,1,59,664
8703,1,9158,-455
4353,1,2331,2022
2501,1,7771,-5270
10,1,9814,-9804
5849,1,784,5065
8891,1,7634,1257
6334,1,4656,1678
1331,1,2574,-1243
9718,1,7973,1745
1425,1,9675,-8250
3270,1,7542,-4272
6567,1,1141,5426
7580,1,4093,3487
1100,1,1495,-395
7205,1,6335,870
4498,1,133,4365
2127,1,1413,714
6305,1,6253,52
8838,1,8690,148
7180,1,8901,-1721
5689,1,8729,-3040
8978,1,7,8971
7360,1,9655,-2295
4107,1,2241,1866
4921,1,8309,-3388
537,1,6071,-5534
1077,1,2068,-991
6637,1,342,6295
6679,1,5422,1257
5729,1,5001,728
7239,1,7245,-6
6826,1,3069,3757
7643,1,2008,5635
9032,1,2370,6662
5760,1,7326,-1566
7268,1,1205,6063
8313,1,8317,-4
1324,1,5278,-3954
3674,1,1125,2549
8280,1,9864,-1584
2530,1,1226,1304
4151,1,600,3551
1209,1,2054,-845
3350,1,4939,-1589
334,1,2497,-2163
8095,1,431,7664
6659,1,7957,-1298
407,1,2939,-2532
9967,1,2431,7536
497,1,8160,-7663
9337,1,10000,-663
3827,1,6731,-2904
9936,1,8139,1797
4633,1,7439,-2806
8999,1,2147,6852
8072,1,1903,6169
7565,1,4617,2948
8336,1,3674,4662
1316,1,5384,-4068
7246,1,4558,2688
1064,1,9012,-7948
9631,1,2982,6649
2092,1,8752,-6660
2869,1,1294,1575
1102,1,3867,-2765
1531,1,3849,-2318
9727,1,1787,7940
6303,1,7917,-1614
3627,1,1036,2591
4709,1,3728,981
2474,1,7206,-4732
547,1,9496,-8949
2882,1,8487,-5605
388,1,3165,-2777
2362,1,6718,-4356
6312,1,9447,-3135
2064,1,9251,-7187
8432,1,19,8413
7254,1,4872,2382
7020,1,9561,-2541
1774,1,5737,-3963
7561,1,1925,5636
1592,1,646,946
475,1,2956,-2481
8948,1,9884,-936
1634,1,8618,-6984
6690,1,1912,4778
2532,1,6798,-4266
3263,1,2415,848
4701,1,7741,-3040
5287,1,3695,1592
2168,1,9356,-7188
7317,1,8825,-1508
7142,1,8057,-915
5130,1,9434,-4304
6524,1,7843,-1319
1870,1,1071,799
9065,1,189,8876
6874,1,3612,3262
3546,1,7934,-4388
3947,1,9296,-5349
4950,1,3264,1686
7658,1,9039,-1381
6522,1,5151,1371
5326,1,2980,2346
3789,1,6276,-2487
610,1,4987,-4377
1481,1,7111,-5630
6867,1,9623,-2756
5978,1,2665,3313
1520,1,6225,-4705
4670,1,2585,2085
318,1,8838,-8520
4097,1,855,3242
7613,1,7841,-228
7137,1,9708,-2571
5577,1,4582,995
127,1,8150,-8023
5803,1,1181,4622
3259,1,2505,754
4674,1,6931,-2257
6233,1,7382,-1149
5877,1,993,4884
686,1,5051,-4365
350,1,829,-479
1014,1,7382,-6368
7076,1,1583,5493
4565,1,1138,3427
7712,1,3645,4067
1504,1,8692,-7188
7759,1,1875,5884
8308,1,6300,2008
2696,1,4211,-1515
2852,1,9325,-6473
5322,1,2816,2506
4187,1,4743,-556
5814,1,4233,1581
5280,1,7619,-2339
159,1,1833,-1674
9838,1,1984,7854
4398,1,5281,-883
3336,1,4376,-1040
3007,1,4564,-1557
8424,1,3900,4524
5975,1,654,5321
4531,1,9660,-5129
9934,1,9767,167
6087,1,1776,4311
859,1,2077,-1218
9460,1,3151,6309
4129,1,9875,-5746
9913,1,7793,2120
2901,1,6756,-3855
7940,1,3920,4020
7056,1,2879,4177
5636,1,9892,-4256
9144,1,6819,2325
9034,1,3523,5511
7612,1,823,6789
2348,1,9279,-6931
2074,1,4495,-2421
2186,1,727,1459
4247,1,4051,196
1313,1,3045,-1732
6050,1,9544,-3494
4370,1,1354,3016
2656,1,3272,-616
1748,1,3887,-2139
4563,1,7954,-3391
7505,1,511,6994
8865,1,589,8276
4013,1,6654,-2641
3363,1,1125,2238
3560,1,7265,-3705
2713,1,7171,-4458
9920,1,7049,2871
5670,1,8502,-2832
4720,1,7179,-2459
5195,1,1216,3979
7355,1,9249,-1894
6485,1,2145,4340
2878,1,3290,-412
4862,1,3567,1295
6687,1,4584,2103
6398,1,7703,-1305
8699,1,5633,3066
4184,1,154,4030
7405,1,617,6788
4305,1,9578,-5273
4916,1,7492,-2576
7901,1,3675,4226
1546,1,1589,-43
745,1,9450,-8705
2166,1,8838,-6672
6465,1,229,6236
5968,1,7067,-1099
1194,1,7462,-6268
8750,1,3919,4831
7574,1,6217,1357
5863,1,3442,2421
6573,1,4387,2186
2185,1,7613,-5428
7148,1,308,6840
1480,1,9734,-8254
5375,1,9996,-4621
8787,1,7351,1436
9261,1,8566,695
2297,1,6913,-4616
476,1,6372,-5896
6173,1,2528,3645
9513,1,4350,5163
6150,1,6499,-349
9203,1,5401,3802
7623,1,4713,2910
6709,1,9420,-2711
9225,1,1639,7586
2341,1,4340,-1999
8808,1,2223,6585
7034,1,9395,-2361
7754,1,9069,-1315
6106,1,2132,3974
3951,1,1699,2252
8844,1,8627,217
5574,1,9940,-4366
2086,1,3144,-1058
6019,1,8508,-2489
4935,1,1997,2938
3589,1,3116,473
7487,1,252,7235
8215,1,2472,5743
7217,1,5583,1634
854,1,5734,-4880
1623,1,8018,-6395
7278,1,4669,2609
1265,1,4847,-3582
3511,1,8835,-5324
1744,1,4890,-3146
5935,1,7533,-1598
9486,1,9741,-255
7260,1,6948,312
7887,1,3503,4384
3831,1,7725,-3894
7160,1,6554,606
8446,1,5492,2954
320,1,1833,-1513
6571,1,961,5610
987,1,9989,-9002
3115,1,4174,-1059
7141,1,7957,-816
4378,1,43,4335
9701,1,3979,5722
7019,1,6072,947
2415,1,7168,-4753
1477,1,4836,-3359
1123,1,9750,-8627
5874,1,6142,-268
9081,1,3395,5686
5112,1,9434,-4322
8100,1,6548,1552
6883,1,8032,-1149
3658,1,2287,1371
2698,1,2654,44
660,1,509,151
6512,1,9132,-2620
8898,1,7757,1141
1791,1,4074,-2283
4326,1,8281,-3955
2400,1,4194,-1794
8313,1,1216,7097
1658,1,8318,-6660
8939,1,591,8348
7693,1,4343,3350
7801,1,8042,-241
2580,1,816,1764
3389,1,6884,-3495
5618,1,3336,2282
7369,1,9367,-1998
7406,1,8255,-849
1444,1,7156,-5712
6039,1,4296,1743
2104,1,7788,-5684
4383,1,7367,-2984
3486,1,2536,950
2928,1,8318,-5390
2951,1,2786,165
2514,1,7372,-4858
5382,1,2094,3288
7691,1,7844,-153
473,1,9976,-9503
6257,1,8240,-1983
1030,1,1817,-787
933,1,6042,-5109
1389,1,5073,-3684
7274,1,1260,6014
898,1,126,772
4893,1,6390,-1497
8190,1,9777,-1587
7936,1,5655,2281
244,1,5870,-5626
3751,1,9425,-5674
4003,1,6055,-2052
1797,1,2505,-708
1034,1,7499,-6465
6249,1,9371,-3122
833,1,1513,-680
2003,1,6731,-4728
4423,1,9126,-4703
959,1,9490,-8531
652,1,1344,-692
1170,1,978,192
7079,1,5281,1798
9698,1,9247,451
5773,1,8946,-3173
4567,1,4090,477
3930,1,2848,1082
3921,1,2595,1326
5181,1,1189,3992
6533,1,6816,-283
9008,1,2706,6302
3842,1,4452,-610
3347,1,5148,-1801
1503,1,3638,-2135
8596,1,9778,-1182
5376,1,1966,3410
4011,1,2678,1333
4690,1,3771,919
1078,1,5068,-3990
829,1,8857,-8028
435,1,9196,-8761
445,1,1376,-931
6544,1,5931,613
1201,1,8809,-7608
1613,1,1647,-34
5461,1,5261,200
442,1,6456,-6014
9114,1,6023,3091
7063,1,5805,1258
5086,1,7566,-2480
2113,1,9750,-7637
7753,1,2781,4972
6506,1,694,5812
3269,1,687,2582
754,1,5315,-4561
873,1,6496,-5623
3179,1,6027,-2848
28,1,8519,-8491
2504,1,3506,-1002
9730,1,7700,2030
6810,1,7934,-1124
6879,1,7433,-554
7942,1,1990,5952
5928,1,8168,-2240
8675,1,6013,2662
1170,1,9981,-8811
