Valor1,Codigo_Operador,Valor2,Resultado
84,3,15,5.6
90,3,69,1.304
58,0,28,86
75,1,59,16
69,3,23,3.0
8,3,71,0.113
74,1,33,41
66,0,76,142
47,2,42,1974
38,1,55,-17
74,2,31,2294
81,3,38,2.132
76,3,89,0.854
77,2,10,770
42,3,6,7.0
9,2,85,765
22,1,84,-62
17,2,98,1666
100,2,26,2600
36,0,50,86
58,0,95,153
15,3,26,0.577
65,3,47,1.383
97,0,96,193
81,2,71,5751
3,3,31,0.097
73,2,78,5694
41,0,51,92
44,0,98,142
15,2,48,720
66,1,83,-17
6,0,24,30
9,3,59,0.153
49,0,99,148
99,1,53,46
63,1,75,-12
31,3,3,10.333
14,0,72,86
72,3,27,2.667
49,3,71,0.69
28,3,91,0.308
37,2,64,2368
19,0,73,92
20,0,55,75
9,3,4,2.25
86,0,11,97
10,2,72,720
47,0,65,112
6,2,76,456
66,1,16,50
82,2,40,3280
21,3,22,0.955
76,1,42,34
91,0,12,103
94,0,59,153
30,3,56,0.536
53,2,52,2756
38,0,14,52
70,2,84,5880
41,2,66,2706
99,0,60,159
5,3,11,0.455
2,2,95,190
45,3,29,1.552
86,2,49,4214
88,2,42,3696
56,2,6,336
72,1,77,-5
22,2,56,1232
58,3,47,1.234
36,1,99,-63
69,1,69,0
33,1,91,-58
32,2,61,1952
6,2,41,246
91,0,79,170
31,0,70,101
32,1,65,-33
16,0,36,52
26,1,59,-33
38,0,81,119
49,2,46,2254
95,2,84,7980
32,2,49,1568
17,0,18,35
97,0,26,123
88,1,93,-5
26,3,18,1.444
28,1,86,-58
71,2,76,5396
34,3,4,8.5
87,3,28,3.107
31,2,21,651
67,3,8,8.375
11,3,34,0.324
25,1,78,-53
72,1,10,62
36,3,66,0.545
72,3,94,0.766
36,1,32,4
65,3,98,0.663
49,0,29,78
65,3,42,1.548
88,3,79,1.114
3,3,32,0.094
89,0,12,101
92,2,54,4968
3,3,62,0.048
12,2,5,60
72,0,1,73
88,1,26,62
17,0,85,102
28,1,19,9
9,3,60,0.15
78,3,17,4.588
89,3,25,3.56
84,2,84,7056
80,0,49,129
81,0,31,112
39,0,75,114
23,2,18,414
61,2,9,549
23,2,20,460
55,2,41,2255
89,0,79,168
59,3,2,29.5
33,0,34,67
13,1,47,-34
24,2,48,1152
72,0,68,140
51,0,5,56
80,2,50,4000
1,3,69,0.014
13,2,67,871
11,3,41,0.268
88,2,64,5632
86,3,63,1.365
71,2,40,2840
81,2,91,7371
40,2,89,3560
46,2,33,1518
10,2,69,690
91,2,98,8918
71,0,65,136
53,1,98,-45
20,3,44,0.455
47,1,92,-45
11,0,56,67
85,1,97,-12
75,2,36,2700
54,2,82,4428
64,3,56,1.143
82,1,89,-7
64,2,58,3712
51,0,72,123
72,3,15,4.8
93,1,43,50
100,2,15,1500
28,2,97,2716
43,3,39,1.103
92,3,41,2.244
100,2,54,5400
82,0,13,95
48,1,93,-45
90,1,35,55
41,0,39,80
16,2,46,736
67,3,100,0.67
20,1,61,-41
53,1,31,22
80,2,81,6480
45,2,64,2880
47,1,25,22
50,0,69,119
85,1,30,55
11,1,47,-36
56,2,88,4928
49,2,83,4067
49,1,52,-3
98,3,62,1.581
98,2,86,8428
37,2,67,2479
38,3,78,0.487
3,3,33,0.091
5,2,93,465
15,1,56,-41
48,1,26,22
51,3,10,5.1
82,0,80,162
12,1,48,-36
61,0,17,78
83,0,62,145
20,0,43,63
45,2,77,3465
70,3,45,1.556
29,3,92,0.315
58,3,17,3.412
67,1,50,17
43,3,29,1.483
53,0,36,89
99,2,43,4257
33,0,92,125
16,2,72,1152
38,2,14,532
58,0,37,95
71,1,17,54
61,0,84,145
89,3,97,0.918
17,3,16,1.062
31,3,10,3.1
44,0,40,84
66,0,85,151
55,1,46,9
34,1,13,21
31,0,58,89
45,3,40,1.125
24,2,16,384
59,1,100,-41
81,2,85,6885
14,0,14,28
36,0,59,95
35,2,66,2310
85,3,32,2.656
85,2,82,6970
68,1,58,10
94,3,97,0.969
60,2,90,5400
70,1,85,-15
47,0,7,54
6,0,33,39
40,3,51,0.784
59,1,33,26
69,1,59,10
94,0,1,95
3,2,42,126
47,3,3,15.667
26,2,96,2496
80,3,85,0.941
14,0,81,95
48,3,32,1.5
63,0,48,111
26,3,36,0.722
19,2,28,532
19,0,82,101
35,1,21,14
67,3,20,3.35
70,1,18,52
86,0,20,106
82,2,46,3772
65,1,94,-29
77,2,36,2772
94,3,10,9.4
6,0,100,106
33,0,22,55
62,1,86,-24
65,3,48,1.354
95,2,38,3610
36,1,22,14
91,0,21,112
94,0,68,162
38,0,23,61
59,2,96,5664
54,2,31,1674
27,3,41,0.659
66,2,58,3828
76,1,79,-3
88,1,16,72
50,2,90,4500
27,1,22,5
30,3,88,0.341
85,2,2,170
64,0,42,106
3,3,71,0.042
86,0,87,173
51,2,7,357
1,1,70,-69
7,3,48,0.146
69,0,43,112
91,0,88,179
16,0,45,61
22,1,17,5
38,0,90,128
17,0,27,44
84,1,51,33
24,1,44,-20
19,3,76,0.25
91,2,14,1274
76,1,12,64
41,2,72,2952
79,3,82,0.963
12,3,62,0.194
39,0,17,56
1,2,2,2
21,2,66,1386
87,1,90,-3
1,0,53,54
26,1,96,-70
1,1,3,-2
22,3,82,0.268
8,0,64,72
51,2,67,3417
25,2,26,650
14,3,18,0.778
38,2,55,2090
48,0,47,95
72,0,10,82
87,2,92,8004
17,0,94,111
93,2,37,3441
19,0,12,31
96,2,39,3744
21,3,93,0.226
58,1,32,26
83,3,25,3.32
69,2,70,4830
80,0,58,138
43,3,13,3.308
81,0,40,121
39,0,84,123
87,1,23,64
66,0,6,72
55,3,47,1.17
